property_id,date_id,owner_id,features_id,location_id,lastSalePrice,propertyTaxes,taxAssessments
1,1,1,1,1,0.0,"{""2022"": {""year"": 2022, ""total"": 2563}, ""2023"": {""year"": 2023, ""total"": 2706}}","{""2022"": {""year"": 2022, ""value"": 252120}, ""2023"": {""year"": 2023, ""value"": 271040}, ""2024"": {""year"": 2024, ""value"": 273350}}"
2,2,2,2,2,0.0,NaN,"{""2019"": {""year"": 2019}, ""2023"": {""year"": 2023, ""value"": 8360}}"
3,2,3,3,3,0.0,"{""2019"": {""year"": 2019, ""total"": 741588}}","{""2019"": {""year"": 2019, ""value"": 7432650, ""land"": 2887200, ""improvements"": 4545450}, ""2023"": {""year"": 2023}, ""2024"": {""year"": 2024}}"
4,3,4,4,4,25500.0,"{""2022"": {""year"": 2022, ""total"": 3492}, ""2023"": {""year"": 2023, ""total"": 3647}}","{""2023"": {""year"": 2023, ""value"": 32477}, ""2024"": {""year"": 2024, ""value"": 41440}}"
5,2,5,5,5,0.0,NaN,NaN
6,4,6,6,6,0.0,"{""2021"": {""year"": 2021, ""total"": 2547}}","{""2022"": {""year"": 2022, ""value"": 375110, ""land"": 49350, ""improvements"": 325760}}"
7,5,7,7,7,103000.0,"{""2019"": {""year"": 2019, ""total"": 2662}, ""2023"": {""year"": 2023, ""total"": 3092}}","{""2017"": {""year"": 2017, ""value"": 9970}, ""2023"": {""year"": 2023, ""value"": 11460}}"
8,6,8,8,8,930000.0,"{""2022"": {""year"": 2022, ""total"": 19258}}","{""2022"": {""year"": 2022, ""value"": 969200, ""land"": 388500, ""improvements"": 580700}}"
9,7,9,5,9,0.0,"{""2021"": {""year"": 2021, ""total"": 483}, ""2022"": {""year"": 2022, ""total"": 522}, ""2023"": {""year"": 2023, ""total"": 522}}","{""2022"": {""year"": 2022, ""value"": 17400, ""land"": 17400}, ""2023"": {""year"": 2023, ""value"": 17400, ""land"": 17400}}"
10,8,10,9,10,0.0,"{""2020"": {""year"": 2020, ""total"": 3503}, ""2022"": {""year"": 2022, ""total"": 20931}, ""2023"": {""year"": 2023, ""total"": 19131}, ""2024"": {""year"": 2024, ""total"": 21146}}","{""2020"": {""year"": 2020, ""value"": 274320, ""land"": 185000, ""improvements"": 89320}, ""2022"": {""year"": 2022, ""value"": 610850, ""land"": 250000, ""improvements"": 360850}, ""2023"": {""year"": 2023, ""value"": 1039890, ""land"": 320000, ""improvements"": 719890}, ""2024"": {""year"": 2024, ""value"": 1356320, ""land"": 435000, ""improvements"": 921320}}"
11,9,11,10,11,520000.0,"{""2020"": {""year"": 2020, ""total"": 6657}, ""2022"": {""year"": 2022, ""total"": 7107}, ""2023"": {""year"": 2023, ""total"": 7493}}","{""2020"": {""year"": 2020, ""value"": 552800, ""land"": 75000, ""improvements"": 477800}, ""2022"": {""year"": 2022, ""value"": 623800, ""land"": 80000, ""improvements"": 543800}, ""2023"": {""year"": 2023, ""value"": 623800, ""land"": 80000, ""improvements"": 543800}}"
12,10,12,11,12,83000.0,"{""2020"": {""year"": 2020, ""total"": 2136}, ""2022"": {""year"": 2022, ""total"": 3033}, ""2023"": {""year"": 2023, ""total"": 2543}, ""2024"": {""year"": 2024, ""total"": 3028}}","{""2020"": {""year"": 2020}, ""2022"": {""year"": 2022, ""value"": 216700, ""land"": 52340, ""improvements"": 164360}, ""2023"": {""year"": 2023, ""value"": 261700}, ""2024"": {""year"": 2024, ""value"": 316300}}"
13,2,13,12,13,0.0,"{""2017"": {""year"": 2017, ""total"": 482}, ""2023"": {""year"": 2023, ""total"": 516}}","{""2017"": {""year"": 2017, ""value"": 22750}, ""2023"": {""year"": 2023, ""value"": 33175}}"
14,11,14,13,14,398400.0,"{""2022"": {""year"": 2022, ""total"": 5923}, ""2023"": {""year"": 2023, ""total"": 6847}}","{""2022"": {""year"": 2022, ""value"": 349006, ""land"": 65000, ""improvements"": 284006}, ""2023"": {""year"": 2023, ""value"": 412007}}"
15,12,15,14,15,1725000.0,"{""2018"": {""year"": 2018, ""total"": 256}}","{""2019"": {""year"": 2019, ""value"": 8822, ""land"": 6619, ""improvements"": 2203}}"
16,2,5,15,16,0.0,NaN,NaN
17,13,16,16,17,124000.0,"{""2022"": {""year"": 2022, ""total"": 2685}}","{""2022"": {""year"": 2022, ""value"": 110000, ""land"": 40000, ""improvements"": 70000}, ""2023"": {""year"": 2023, ""value"": 110000, ""land"": 40000, ""improvements"": 70000}}"
18,14,17,17,18,0.0,"{""2021"": {""year"": 2021, ""total"": 6685}}","{""2022"": {""year"": 2022, ""value"": 390200, ""land"": 72500, ""improvements"": 317700}}"
19,15,18,18,19,260000.0,"{""2024"": {""year"": 2024, ""total"": 4096}}","{""2024"": {""year"": 2024, ""value"": 259600, ""land"": 35000, ""improvements"": 224600}}"
20,16,19,19,20,215000.0,"{""2022"": {""year"": 2022, ""total"": 5001}, ""2023"": {""year"": 2023, ""total"": 5413}}","{""2022"": {""year"": 2022, ""value"": 176840, ""land"": 38400, ""improvements"": 138440}, ""2023"": {""year"": 2023, ""value"": 218720, ""land"": 40400, ""improvements"": 178320}}"
21,17,20,20,21,250000.0,"{""2020"": {""year"": 2020, ""total"": 7899}, ""2022"": {""year"": 2022, ""total"": 9398}, ""2023"": {""year"": 2023, ""total"": 9551}, ""2024"": {""year"": 2024, ""total"": 9420}}","{""2020"": {""year"": 2020, ""value"": 151970, ""land"": 66360, ""improvements"": 85610}, ""2022"": {""year"": 2022, ""value"": 169400, ""land"": 46410, ""improvements"": 122990}, ""2023"": {""year"": 2023, ""value"": 169400, ""land"": 46410, ""improvements"": 122990}, ""2024"": {""year"": 2024, ""value"": 169400, ""land"": 46410, ""improvements"": 122990}}"
16,2,5,15,22,0.0,NaN,NaN
16,2,5,15,23,0.0,NaN,NaN
22,2,21,21,24,0.0,"{""2022"": {""year"": 2022, ""total"": 1122}}","{""2022"": {""year"": 2022, ""value"": 25248, ""land"": 2606, ""improvements"": 22642}}"
23,18,22,22,25,268000.0,"{""2023"": {""year"": 2023, ""total"": 3223}}","{""2023"": {""year"": 2023, ""value"": 298955, ""land"": 72506, ""improvements"": 226449}}"
24,2,23,23,26,0.0,"{""2022"": {""year"": 2022, ""total"": 4039}, ""2023"": {""year"": 2023, ""total"": 5103}}","{""2022"": {""year"": 2022, ""value"": 44210, ""land"": 10470, ""improvements"": 33740}, ""2023"": {""year"": 2023, ""value"": 57930, ""land"": 14480, ""improvements"": 43450}}"
16,2,5,15,27,0.0,NaN,NaN
25,19,24,24,28,0.0,"{""2022"": {""year"": 2022, ""total"": 599}, ""2023"": {""year"": 2023, ""total"": 5995}}","{""2022"": {""year"": 2022, ""value"": 471090, ""land"": 40850, ""improvements"": 430240}, ""2023"": {""year"": 2023, ""value"": 488280, ""land"": 40850, ""improvements"": 447430}}"
16,2,5,15,29,0.0,NaN,NaN
26,20,25,25,30,670000.0,"{""2021"": {""year"": 2021, ""total"": 4167}, ""2023"": {""year"": 2023, ""total"": 4247}}","{""2021"": {""year"": 2021, ""value"": 230203, ""land"": 50330, ""improvements"": 179873}, ""2023"": {""year"": 2023, ""value"": 239503, ""land"": 52364, ""improvements"": 187139}}"
27,2,5,26,31,0.0,NaN,NaN
16,2,5,15,32,0.0,NaN,NaN
28,21,26,27,33,238000.0,"{""2016"": {""year"": 2016, ""total"": 5757}}","{""2019"": {""year"": 2019, ""value"": 37200, ""land"": 6500, ""improvements"": 30700}}"
29,22,27,28,34,300285.0,"{""2021"": {""year"": 2021, ""total"": 2789}, ""2022"": {""year"": 2022, ""total"": 2802}, ""2023"": {""year"": 2023, ""total"": 3014}}","{""2020"": {""year"": 2020, ""value"": 83208, ""land"": 5938, ""improvements"": 77270}, ""2022"": {""year"": 2022, ""value"": 81179, ""land"": 7423, ""improvements"": 73756}, ""2023"": {""year"": 2023, ""value"": 87215, ""land"": 7423, ""improvements"": 79792}}"
30,23,28,29,35,595000.0,"{""2021"": {""year"": 2021, ""total"": 2366}, ""2022"": {""year"": 2022, ""total"": 2452}, ""2023"": {""year"": 2023, ""total"": 2469}}","{""2022"": {""year"": 2022, ""value"": 30830, ""land"": 14890, ""improvements"": 15940}, ""2023"": {""year"": 2023, ""value"": 31860, ""land"": 10670, ""improvements"": 21190}}"
31,24,29,30,36,210000.0,"{""2022"": {""year"": 2022, ""total"": 2186}, ""2023"": {""year"": 2023, ""total"": 2186}}","{""2021"": {""year"": 2021, ""value"": 85075, ""land"": 16250, ""improvements"": 68825}, ""2022"": {""year"": 2022, ""value"": 85075, ""land"": 16250, ""improvements"": 68825}, ""2023"": {""year"": 2023, ""value"": 85075, ""land"": 16250, ""improvements"": 68825}}"
16,2,5,15,37,0.0,NaN,NaN
16,2,5,15,38,0.0,NaN,NaN
32,25,30,31,39,272500.0,"{""2022"": {""year"": 2022, ""total"": 3952}, ""2023"": {""year"": 2023, ""total"": 4052}}","{""2022"": {""year"": 2022, ""value"": 298012, ""land"": 74500, ""improvements"": 223512}, ""2023"": {""year"": 2023, ""value"": 303972, ""land"": 75990, ""improvements"": 227982}}"
33,26,31,32,40,0.0,"{""2021"": {""year"": 2021, ""total"": 895}, ""2023"": {""year"": 2023, ""total"": 1048}}","{""2021"": {""year"": 2021, ""value"": 35918, ""land"": 35000, ""improvements"": 918}, ""2023"": {""year"": 2023, ""value"": 49340, ""land"": 48422, ""improvements"": 918}}"
34,27,32,33,41,0.0,"{""2022"": {""year"": 2022, ""total"": 49860}}","{""2022"": {""year"": 2022, ""value"": 4974801, ""land"": 1310400, ""improvements"": 3664401}, ""2023"": {""year"": 2023, ""value"": 5099424, ""land"": 1310400, ""improvements"": 3789024}}"
35,2,33,34,42,0.0,"{""2020"": {""year"": 2020, ""total"": 1913}, ""2023"": {""year"": 2023, ""total"": 1956}}","{""2020"": {""year"": 2020, ""value"": 67800, ""land"": 15600, ""improvements"": 52200}, ""2023"": {""year"": 2023, ""value"": 67800, ""land"": 15600, ""improvements"": 52200}, ""2024"": {""year"": 2024, ""value"": 67800, ""land"": 15600, ""improvements"": 52200}}"
36,2,34,35,43,0.0,"{""2022"": {""year"": 2022, ""total"": 725}}","{""2022"": {""year"": 2022, ""value"": 45873, ""land"": 16290, ""improvements"": 29583}}"
16,2,5,15,44,0.0,NaN,NaN
37,28,35,36,45,266800.0,"{""2021"": {""year"": 2021, ""total"": 2227}, ""2023"": {""year"": 2023, ""total"": 2268}}","{""2023"": {""year"": 2023, ""value"": 24401}}"
38,2,5,26,46,0.0,NaN,NaN
