propertyType,assessorID,bedrooms,bathrooms,squareFootage,yearBuilt,legalDescription,subdivision,zoning,property_id
Single Family,"""49-324-0038""",3.0,2.0,1632.0,1999.0,"""LOT 38, PLAT B, PHEASANT MEADOWS SUBDV. AREA 0.325 AC""","""PHEASANT MEADOWS""",NaN,1
Single Family,"""18004203.""",0.0,1.0,912.0,1923.0,"""S SPARTA 81 HAGGERTY LAND COS SUB L36 P26 PLATS, W C R 18/367 34 X 118.32A""","""LAND COS SUB""","""R2""",2
Apartment,"""06656-00638B""",0.0,0.0,225968.0,1952.0,"""LOT:63 BLK:6656""",NaN,"""R4""",3
Single Family,"""102-14-0660""",0.0,2.0,2021.0,1976.0,"""LA CANADA FOOTHILLS LOT 59""","""LA CANADA FOOTHILLS""",NaN,4
Land,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,5
Single Family,"""9800-05-001-0130-901""",4.0,3.5,2200.0,2019.0,"""YOUNG RANCH SEC 5, BLOCK 1, LOT 13 (PT), (73% IN LAMAR CISD)""","""YOUNG RANCH SEC 5""",NaN,6
Single Family,"""425-12-00-069""",3.0,1.5,1075.0,1964.0,"""LEGAL DESCRIPTION SUBDIVISION NAME -WHITEHOUSE PLANT DESCRIPTION -LT 9 BLK G PLATSUFFIX Q-139 POLTWP 009""","""WHITEHOUSE PLANT""",NaN,7
Single Family,"""20  00038-0000-00013-  04""",5.0,2.0,3489.0,1985.0,"""LOT:13.04 BLK:38 DIST:20 CITY/MUNI/TWP:WARREN TWP MAP REF:TAX MAP 30""","""FOX HILL MDW SEC 01""","""R65""",8
Land,"""70-07-31-180-006.000-011""",0.0,0.0,0.0,0.0,"""WILSON ESTATES PART 1 LOT 2 1119 N MONROE WAY""","""WILSON ESTATES""",NaN,9
Single Family,"""00000427360000000""",4.0,2.5,4163.0,2021.0,"""SHANNON ESTATES BLK L/5699 LOT 22 INT202200145822 DD05202022 CO-DC 5699 00L 022 1005699L000""","""SHANNON ESTATES""","""Z298""",10
Single Family,"""26122.0623""",5.0,3.5,4178.0,2002.0,"""RIVER WOOD ESTATES LT 23 BLK 1""","""RIVER WOOD ESTATES""",NaN,11
Single Family,"""50-2-4578-00""",3.0,1.0,1720.0,1950.0,"""342'10 1/2 W ROSNEY""",NaN,"""RSA3""",12
Single Family,"""122DA011""",3.0,1.5,1776.0,1959.0,"""SUBDIVISIONNAME GEYLAND HGTS MAPPLATB 14 MAPPLATP 180 D IMENSIONS 355.13 X 211M X IRR""","""GEYLAND HGTS""",NaN,13
Single Family,"""5811.1825-9""",3.0,2.5,2054.0,2021.0,"""LOT 338, LAKEWOOD RANCH SOLERA PHASE IA & IB PI #5811.1825/9""","""LAKEWOOD RANCH SOLERA PH IA & IB""","""PD-R""",14
Land,"""661-360-041""",0.0,2.0,0.0,2006.0,"""LOT 41, TRACT NO. 30615-2, AS SHOWN BY MAP ON FILE IN BOOK 367, PAGES 61 THROUGH 66 OF MAPS, RECORDS OF RIVERSIDE COUNTY,""",NaN,"""CBOOK""",15
Unknown,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,16
Single Family,"""07  01192-  30-00005""",2.0,2.0,1024.0,1973.0,"""LOT:5 BLK:1192.30 DIST:07 CITY/MUNI/TWP:BRICK TWP MAP REF:TAX MAP 62.5""","""SKYLARK VILLAGE SEC 23""","""RR2""",17
Single Family,"""71-04-15-378-008.000-011""",4.0,2.5,2767.0,1988.0,"""QUAIL VALLEY AT KNOLLWOOD SEC TWO LOT 195""","""QUAIL VLY/KNOLLWOOD""",NaN,18
Single Family,"""24-29-23-14-0019""",3.0,2.5,2756.0,1993.0,"""RICE STREET VILLAS LOTS 34 35 AND LOT 36 BLK 9""","""RICE STREET VILLAS""","""H""",19
Single Family,"""7-310 -380""",4.0,2.5,2980.0,2001.0,"""L48 BA GRANDVIEW #7""","""GRANDVIEW""","""R100M-SINGLE FAM RES""",20
Single Family,"""HAMD M:2829 B:191 L:00-0000""",3.0,2.0,1680.0,1980.0,"""BLK:191 CITY/MUNI/TWP:HAMDEN""",NaN,"""R4""",21
